time_stamp,user_name,narrative_entry,incident_type,user_emotional_state,severity_score,potential_crime,confidence_score,formatted_timestamp
2025-01-26,Shreya,I’ve been outside your place a few times… just to make sure you're okay.,Stalking,Neutral,1,N,80.0,"Jan 26, 12:00 AM"
2025-04-06,Sanya,Wanna do a movie night soon?,Friendly,Neutral,1,N,90.0,"Apr 06, 12:00 AM"
2025-03-25,Shreya,That guy you were talking to… is he important to you?,Neutral,Neutral,1,N,85.0,"Mar 25, 12:00 AM"
2025-03-13,Sanya,"You’ve been quiet lately, want to talk?",Friendly,Neutral,1,N,90.0,"Mar 13, 12:00 AM"
2025-02-20,Shreya,I noticed you left your lights on last night. You should be more careful.,Stalking,Anxious,3,N,90.0,"Feb 20, 12:00 AM"
2025-01-15,Mouni,"If you leave, you’ll regret it. No one else will want you.",Verbal Threats,Fearful,5,Y,100.0,"Jan 15, 12:00 AM"
2025-03-13,Sanya,Just checking in. You doing okay?,Friendly,Neutral,1,N,90.0,"Mar 13, 12:00 AM"
2025-01-11,Mouni,"If you leave, you’ll regret it. No one else will want you.",Verbal Threats,Fearful,5,Y,100.0,"Jan 11, 12:00 AM"
2025-03-09,Sanya,Hey! Hope your week’s been gentle. Let me know if you need anything 💛,Friendly,Neutral,1,N,90.0,"Mar 09, 12:00 AM"
2025-03-03,Mouni,You’re lucky I even put up with you.,Neutral,Neutral,1,N,85.0,"Mar 03, 12:00 AM"
2025-02-13,Sanya,"You’ve been quiet lately, want to talk?",Friendly,Neutral,1,N,90.0,"Feb 13, 12:00 AM"
2025-03-03,Sanya,Wanna do a movie night soon?,Friendly,Neutral,1,N,90.0,"Mar 03, 12:00 AM"
2025-01-26,Mouni,I know what’s best for you. You clearly can’t handle life on your own.,Neutral,Neutral,1,N,85.0,"Jan 26, 12:00 AM"
2025-02-12,Shreya,I noticed you left your lights on last night. You should be more careful.,Stalking,Anxious,3,N,90.0,"Feb 12, 12:00 AM"
2025-04-18,Shreya,That guy you were talking to… is he important to you?,Neutral,Neutral,1,N,85.0,"Apr 18, 12:00 AM"
2025-01-13,Mouni,You’re lucky I even put up with you.,Neutral,Neutral,1,N,85.0,"Jan 13, 12:00 AM"
2025-02-04,Sanya,Wanna do a movie night soon?,Friendly,Neutral,1,N,90.0,"Feb 04, 12:00 AM"
2025-02-22,Shreya,You really shouldn’t walk home alone so late.,Neutral,Neutral,1,N,85.0,"Feb 22, 12:00 AM"
2025-01-29,Mouni,"If you leave, you’ll regret it. No one else will want you.",Verbal Threats,Fearful,5,Y,100.0,"Jan 29, 12:00 AM"
2025-03-03,Mouni,Don’t embarrass yourself trying to explain this to anyone else. They won’t believe you.,Neutral,Neutral,1,N,85.0,"Mar 03, 12:00 AM"
2025-03-13,Sanya,Hey! Hope your week’s been gentle. Let me know if you need anything 💛,Friendly,Neutral,1,N,90.0,"Mar 13, 12:00 AM"
2025-03-15,Mouni,You’re lucky I even put up with you.,Neutral,Neutral,1,N,85.0,"Mar 15, 12:00 AM"
2025-02-13,Mouni,"If you leave, you’ll regret it. No one else will want you.",Verbal Threats,Fearful,5,Y,100.0,"Feb 13, 12:00 AM"
2025-02-02,Mouni,I know what’s best for you. You clearly can’t handle life on your own.,Neutral,Neutral,1,N,85.0,"Feb 02, 12:00 AM"
2025-01-18,Shreya,That guy you were talking to… is he important to you?,Neutral,Neutral,1,N,85.0,"Jan 18, 12:00 AM"
2025-02-14,Mouni,You’re imagining things again. Why do you always make me the bad guy?,Gaslighting,Distressed,5,Y,100.0,"Feb 14, 12:00 AM"
2025-01-27,Sanya,You’re on my mind today—sending love!,Friendly,Neutral,1,N,90.0,"Jan 27, 12:00 AM"
2025-01-14,Mouni,You’re lucky I even put up with you.,Neutral,Neutral,1,N,85.0,"Jan 14, 12:00 AM"
2025-01-10,Sanya,Wanna do a movie night soon?,Friendly,Neutral,1,N,90.0,"Jan 10, 12:00 AM"
2025-04-06,Shreya,I’ve been outside your place a few times… just to make sure you're okay.,Stalking,Neutral,1,N,80.0,"Apr 06, 12:00 AM"
2025-01-02,Sanya,"You’ve been quiet lately, want to talk?",Friendly,Neutral,1,N,90.0,"Jan 02, 12:00 AM"
2025-01-17,Shreya,Why didn’t you smile at me when I waved? Are you avoiding me?,Neutral,Neutral,1,N,85.0,"Jan 17, 12:00 AM"
2025-03-16,Mouni,"If you leave, you’ll regret it. No one else will want you.",Verbal Threats,Fearful,5,Y,100.0,"Mar 16, 12:00 AM"
2025-02-15,Shreya,That guy you were talking to… is he important to you?,Neutral,Neutral,1,N,85.0,"Feb 15, 12:00 AM"
2025-04-03,Sanya,Just checking in. You doing okay?,Friendly,Neutral,1,N,90.0,"Apr 03, 12:00 AM"
2025-03-14,Sanya,You’re on my mind today—sending love!,Friendly,Neutral,1,N,90.0,"Mar 14, 12:00 AM"
2025-03-21,Shreya,Saw you at the coffee shop today. That green sweater looks good on you.,Stalking,Neutral,1,N,80.0,"Mar 21, 12:00 AM"
2025-03-07,Sanya,Just checking in. You doing okay?,Friendly,Neutral,1,N,90.0,"Mar 07, 12:00 AM"
2025-03-11,Sanya,Wanna do a movie night soon?,Friendly,Neutral,1,N,90.0,"Mar 11, 12:00 AM"
2025-02-07,Shreya,Saw you at the coffee shop today. That green sweater looks good on you.,Stalking,Neutral,1,N,80.0,"Feb 07, 12:00 AM"
2025-01-25,Mouni,You’re lucky I even put up with you.,Neutral,Neutral,1,N,85.0,"Jan 25, 12:00 AM"
2025-02-10,Mouni,I know what’s best for you. You clearly can’t handle life on your own.,Neutral,Neutral,1,N,85.0,"Feb 10, 12:00 AM"
2025-01-02,Shreya,Why didn’t you smile at me when I waved? Are you avoiding me?,Neutral,Neutral,1,N,85.0,"Jan 02, 12:00 AM"
2025-02-26,Mouni,You’re lucky I even put up with you.,Neutral,Neutral,1,N,85.0,"Feb 26, 12:00 AM"
2025-02-20,Sanya,Just checking in. You doing okay?,Friendly,Neutral,1,N,90.0,"Feb 20, 12:00 AM"
2025-04-03,Sanya,Lunch next week? I’m free Tuesday!,Friendly,Neutral,1,N,90.0,"Apr 03, 12:00 AM"
2025-04-18,Sanya,Lunch next week? I’m free Tuesday!,Friendly,Neutral,1,N,90.0,"Apr 18, 12:00 AM"
2025-03-17,Sanya,Just checking in. You doing okay?,Friendly,Neutral,1,N,90.0,"Mar 17, 12:00 AM"
2025-02-21,Sanya,"You’ve been quiet lately, want to talk?",Friendly,Neutral,1,N,90.0,"Feb 21, 12:00 AM"
2025-03-12,Sanya,"You’ve been quiet lately, want to talk?",Friendly,Neutral,1,N,90.0,"Mar 12, 12:00 AM"
2025-04-06,Shreya,Why didn’t you smile at me when I waved? Are you avoiding me?,Neutral,Neutral,1,N,85.0,"Apr 06, 12:00 AM"
2025-01-03,Shreya,That guy you were talking to… is he important to you?,Neutral,Neutral,1,N,85.0,"Jan 03, 12:00 AM"
2025-01-27,Mouni,You’re imagining things again. Why do you always make me the bad guy?,Gaslighting,Distressed,5,Y,100.0,"Jan 27, 12:00 AM"
2025-02-19,Sanya,You’re on my mind today—sending love!,Friendly,Neutral,1,N,90.0,"Feb 19, 12:00 AM"
2025-02-21,Sanya,"You’ve been quiet lately, want to talk?",Friendly,Neutral,1,N,90.0,"Feb 21, 12:00 AM"
2025-01-13,Shreya,Why didn’t you smile at me when I waved? Are you avoiding me?,Neutral,Neutral,1,N,85.0,"Jan 13, 12:00 AM"
2025-03-09,Mouni,"If you just listened, we wouldn’t be having this fight.",Neutral,Neutral,1,N,85.0,"Mar 09, 12:00 AM"
2025-03-07,Shreya,I noticed you left your lights on last night. You should be more careful.,Stalking,Anxious,3,N,90.0,"Mar 07, 12:00 AM"
2025-01-28,Shreya,Why didn’t you smile at me when I waved? Are you avoiding me?,Neutral,Neutral,1,N,85.0,"Jan 28, 12:00 AM"
2025-02-23,Shreya,Saw you at the coffee shop today. That green sweater looks good on you.,Stalking,Neutral,1,N,80.0,"Feb 23, 12:00 AM"
2025-02-27,Mouni,"If you just listened, we wouldn’t be having this fight.",Neutral,Neutral,1,N,85.0,"Feb 27, 12:00 AM"
2025-04-05,Mouni,Don’t embarrass yourself trying to explain this to anyone else. They won’t believe you.,Neutral,Neutral,1,N,85.0,"Apr 05, 12:00 AM"
2025-04-17,Shreya,I’ve been outside your place a few times… just to make sure you're okay.,Stalking,Neutral,1,N,80.0,"Apr 17, 12:00 AM"
2025-01-27,Shreya,That guy you were talking to… is he important to you?,Neutral,Neutral,1,N,85.0,"Jan 27, 12:00 AM"
2025-02-11,Mouni,You’re imagining things again. Why do you always make me the bad guy?,Gaslighting,Distressed,5,Y,100.0,"Feb 11, 12:00 AM"
2025-03-20,Shreya,Saw you at the coffee shop today. That green sweater looks good on you.,Stalking,Neutral,1,N,80.0,"Mar 20, 12:00 AM"
2025-02-12,Sanya,Wanna do a movie night soon?,Friendly,Neutral,1,N,90.0,"Feb 12, 12:00 AM"
2025-04-17,Mouni,I know what’s best for you. You clearly can’t handle life on your own.,Neutral,Neutral,1,N,85.0,"Apr 17, 12:00 AM"
2025-02-09,Mouni,"If you leave, you’ll regret it. No one else will want you.",Verbal Threats,Fearful,5,Y,100.0,"Feb 09, 12:00 AM"
2025-03-21,Sanya,Wanna do a movie night soon?,Friendly,Neutral,1,N,90.0,"Mar 21, 12:00 AM"
2025-02-13,Sanya,Lunch next week? I’m free Tuesday!,Friendly,Neutral,1,N,90.0,"Feb 13, 12:00 AM"
